id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1584875,2026-05-31 17:08:19 -0700,2026-06-01 02:25:25 -0700,en-US,thunderbird,Ancient Boomer desparately needs help,True,1822465.0,MattAuSupport,False,1822471.0,1822465;1822471;,install,thunderbird-140110;thunderbird-14011;thunderbird;install;,george.zipperlen,"<p>My apologies, but I am not good at searching documentation and Q&amp;A history without a glossary and ontology,  </p><p>That is to say every (software) ecosystem has their own culture (tacit knowledge) and language (jargon) </p><p>I want to install mail user agents and web browsers on diverse systems, from e.g. RaspBerry Pi / RiscV etc. to desktops, laptops, on-prem hardware, and multi cloud distributed virtual platforms. </p><p><strong>It would be nice to have a subset of the same server configurations and User Interface / Ergonomics descriptions (CSS) everywhere.</strong> </p><p>Regardless of machine architecture, kernel distribution, package manager, ad nauseum. </p><p>I used to be able to do this with trusted hash verified source or binary (reel-to-reel tape) or SHA256, e.g.), and trusted certificates. (e.g. pgp) </p><p>What we used to call tarballs for source, and RC configurations per user and per (virtual) machine. </p><p>I am SICK of Jenkins / Ansible / Dpkg / apt / yum / yaml / Nix .... as well as Snap, Flatpak, etc. etc.  All in incompatible versions.  I used to be able to create self-extracting shell archives that Just Worked on everything from mainframes to personal computers. </p><p>I CAN compile and run and modify ancient FORTRAN, COBOL, APL, LISP, and SnoBol without these headaches.  I got paid very well to do this for Y2K in 1988-1999 </p><p>Please take your time answering this screed. </p>",george.zipperlen;MattAuSupport;,False,False,False,;useragent:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0;tb_version:140.11.0esr (64-bi;os:Linux / BSD / OpenSolaris / OpenVMS ....;solver_id:7686499,2,0,0,,,
1584880,2026-05-31 17:22:08 -0700,2026-06-01 19:08:46 -0700,it,thunderbird,"installato da Microsoft Store su Win11 (thunderbird-MSIX - 1.0), ma la cartella del profilo non si trova",True,1822527.0,@next,False,1822610.0,1822491;1822499;1822527;1822610;,profiles,thunderbird-15101;thunderbird-1510;windows-11;thunderbird;profiles;,alessandro.carano,"<p>nell'installazione da Microsoft Store, la 151.0.1 ho cercato la cartella del profilo come consigliato: &lt;&lt;Fare clic sul pulsante dei Menu, fare quindi clic su Aiuto e dal sottomenu fare clic su Risoluzione dei problemi. Individuare la voce ""Cartella del profilo"", fare quindi clic su Apri cartella&gt;&gt; </p><p>msg di errore:  %AppData%\Roaming\Thunderbird\Profiles\oamlfil6.default-release  non disponibile  (effettivamente non esiste la cartella Thunderbird...) </p><p>Ho però trovato la cartella %AppData%\Local\Packages\MozillaThunderbird.MozillaThunderbirdRelease_h5892qc0xkpca\LocalCache\Local\Thunderbird\Profiles\oamlfil6.default-release </p><p>Ci ho copiato il contenuto della cartella profilo della vecchia installazione 140.11.1esr su Win10, ma non recupera la vecchia configurazione con i miei account di posta </p>",alessandro.carano;@next;,False,False,False,";solver_id:7686322;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0;tb_version:151.0.1;os:Windows 11;kb_visits_prior:[""/it/kb/trasferire-dati-thunderbird-nuovo-computer"", ""/it/kb/profili-thunderbird"", ""/it/kb/versione-esr-thunderbird""]",4,0,0,,,
1584884,2026-05-31 18:12:01 -0700,2026-05-31 18:12:01 -0700,en-US,thunderbird,Help with Thunderbird Intsall on MacBook Air 2017,False,,,False,,,send-and-receive-email,thunderbird-15101;thunderbird-1510;thunderbird;send-and-receive-email;,terryl1991,"<p>Hello, I need help with getting Thunderbird email installed on my MacBook Air 2017 macOS Monterey.   I have successfully installed the app on my desktop but, each time I try to finish the set up, I get an ""Authentication Error"" with ""Unable to log into the server"" on the Welcome to Thunderbird initial Pop Up screen. I think it might be with the Yahoo server but, I do not know. Could someone help walk me through the set up?   Please let me know as soon as you have a few minutes or, direct me to the appropriate support department. Thank You, TL Shaffer </p>",terryl1991;,False,False,False,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15;tb_version:151.0.1;os:Mac OS Monterey 12.7.6",0,0,0,,,
1584886,2026-05-31 18:26:23 -0700,2026-05-31 18:26:23 -0700,en-US,thunderbird,For the past 3 days whenever I try to log into thunderbird it won't open and I have a spinning ball,False,,,False,,,app-crash,thunderbird;app-crash;,shen13922182533,<p>My thunderbird download program on my apple Mac won't open.  When I click on the app the page opens but I can't access it as there is just a spinning coloured ball.  This has been happening off and on for the last month but now for the past 3 days it is constant.  I can't open the thunderbird help option </p>,shen13922182533;,False,False,False,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15;tb_version:unable to open;os:Mac OS x 10_15_7.7",0,0,0,,,
1584895,2026-05-31 19:00:55 -0700,2026-05-31 20:51:02 -0700,en-US,thunderbird,Too many emails open,True,1822437.0,Mapenzi,False,1822437.0,1822410;1822423;1822432;1822436;1822437;,customization,thunderbird-1500;beta;windows;thunderbird;customization;,rob.faivre,"<p>When we start Thunderbird, ALL past emails open as well, as tabs. How do we prevent this? </p>",rob.faivre;Mapenzi;,False,False,False,";useragent:Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1 Ddg/26.5;tb_version:150.0b1;os:Windows;solver_id:7686727",5,0,0,,,
1584910,2026-05-31 20:29:28 -0700,2026-06-01 01:40:58 -0700,en-US,thunderbird,I changed something and lost the key/block/box which open blank message for sending and sympol to check for incoming emails.,False,,,False,1822467.0,1822467;,send-and-receive-email,windows-1011;thunderbird;send-and-receive-email;,dixieslope1827,<p>All mentioned in subject line above. </p>,dixieslope1827;MattAuSupport;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0;tb_version:151.02  64 bit;os:Windows 10/11,1,0,0,,,
1584921,2026-05-31 23:27:25 -0700,2026-06-01 20:55:25 -0700,en-US,thunderbird,Thunderbird won't show date received in the inbox list.,False,,,False,1822622.0,1822622;,customization,thunderbird-15101;thunderbird-1510;windows-11;thunderbird;customization;,serley,"<p>My Thunderbird has suddenly stopped showing date and size against incoming emails - it also wasn't showing sender but suddenly changed despite me not changing any options. Date and size are clearly ticked in the drop down box. Basically, it is randomly deciding what to display even when I am not changing options! </p>",serley;Googlethunderbird.;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36;tb_version:151.0.1;os:Windows 11",1,0,0,,,
1584922,2026-05-31 23:29:04 -0700,2026-06-01 00:57:56 -0700,en-US,thunderbird,Certificate expired..??,False,,,False,1822462.0,1822462;,encryption,firefox-15102;firefox-1510;windows-10;thunderbird;encryption;,ronlorraine46,"<p>Just opened Thunderbird this morning and saw this...? Can you please explain or correct this for me. Cheers, Ron. </p>",ronlorraine46;MattAuSupport;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0;ff_version:151.0.2;os:Windows 10,1,0,0,,,
1584942,2026-06-01 04:37:05 -0700,2026-06-01 04:37:05 -0700,en-US,thunderbird,IIGKG,False,,,True,,,installation-and-updates,linux;thunderbird;installation-and-updates;,hamdy115185zzz,<p>HH </p><p><br> <strong> </strong> </p><p><br> </p><p><br> <strong></strong> </p>,hamdy115185zzz;,False,False,False,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0;tb_version:123456123456;os:Linux,0,0,0,,,
1584949,2026-06-01 06:09:53 -0700,2026-06-01 19:43:55 -0700,en-US,thunderbird,the mail is not coming and thunderbird is very slow,False,,,False,1822612.0,1822612;,crashing-and-slow-performance,thunderbird-1520;beta;windows-11;thunderbird;crashing-and-slow-performance;,amalkr,"<p>We are facing issues with Thunderbird mail application. </p><p>Incoming emails are not being received in Thunderbird. Thunderbird is running very slowly and frequently becomes unresponsive. Sending and receiving emails is taking a long time. We have already restarted the application and system, but the issue still persists. </p><p>Kindly check the mail server settings and Thunderbird configuration from your end and advise on the necessary action to resolve this issue as soon as possible. </p><p>Your prompt support will be highly appreciated. </p>",amalkr;Googlethunderbird.;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36;tb_version:152.0beta;os:Windows 11;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird""]",1,0,0,,,
1584950,2026-06-01 06:10:13 -0700,2026-06-01 06:10:13 -0700,en-US,thunderbird,"Je ne parle pas anglais,merci",False,,,True,,,email-and-messaging,windows-10;thunderbird;email-and-messaging;,peter.mandonnet,<p>merci </p>,peter.mandonnet;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.95 Safari/537.36;tb_version:Je ne parle pas an;os:Windows 10",0,0,0,,,
1584953,2026-06-01 06:34:19 -0700,2026-06-01 13:16:58 -0700,en-US,thunderbird,Is there any way to retrieve double deleted emails?,False,,,False,1822567.0,1822567;,email-and-messaging,thunderbird-91131;thunderbird-9113;thunderbird;email-and-messaging;,cjsiddah,"<p>I was trying to clean up my iPhone 16 by deleting emails, double deleting emails, not realising that they were being deleted across all of my devices. I contacted Apple and, of course, as the emails were double binned they were unable to help me. I then remembered I was using Thunderbird on an older MacBook, MacOS 10.14.6. Is there any way I can retrieve these emails? Pleeeeease tell me there is.  Ive read other answers but the questions that are being answered are not quite the same. Thanks for any reply.<strong>bold text</strong> </p>",cjsiddah;davidsk;,False,False,False,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15;tb_version:91.13.1;os:Mac OS x 10_14_6",1,0,0,,,
