id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version
1590519,2026-07-01T01:09:01.564306Z,2026-07-01T01:09:01.564311Z,en-US,thunderbird,"Upcoming Thunderbird snap/flatpak update - no entry found for Thunderbird in ""~/.var/app/"" directory",False,,,False,,,update,thunderbird;update;thunderbird-140120;thunderbird-14012;,billc1224,"<p>I got an eMail notification about an upcoming update for Thunderbird snap/flatpak configs, but I don't see any entry for Thunderbird in my ""~/.var/app/"" directory. There is an entry for Firefox, but nothing for Thunderbird. Yet Thunderbird still updates regularly and successfully.  </p><p>What should I do, in order to conform to the eMail notification instructions?  </p><p>Running the command ""snap info thunderbird"" returns the following -- </p><p>name:      thunderbird summary:   Mozilla Thunderbird email application publisher: Canonical✓ store-url: <a href=""https://snapcraft.io/thunderbird"" rel=""nofollow"">https://snapcraft.io/thunderbird</a> contact:   <a href=""https://www.thunderbird.net/contact/"" rel=""nofollow"">https://www.thunderbird.net/contact/</a> license:   unset description: | </p><pre> **ANNOUNCEMENT:** The snap channels are changing. Action is required by July 21, 2026  to stay on ESR.  Read more about this change:  https://support.mozilla.org/kb/channel-choices-thunderbird-snap-and-flatpak    Thunderbird is a free email application that’s easy to set up and customize - and  it’s loaded with great features! </pre> <p>commands: </p><pre> - thunderbird </pre> <p>snap-id:      k1Ml1O9GzSO2QftV0ZlWSbUfQ78nN460 tracking:     latest/stable refresh-date: 12 days ago, at 06:38 CST channels: </p><pre> latest/stable:     140.12.0esr-1 2026-06-16 (1155) 221MB -  latest/candidate:  140.12.1esr-1 2026-06-29 (1170) 221MB -  latest/beta:       ↑                                       latest/edge:       ↑                                       monthly/stable:    151.0-1       2026-05-20 (1120) 226MB -  monthly/candidate: 151.0-1       2026-06-05 (1146) 226MB -  monthly/beta:      153.0b4-2     2026-06-30 (1173) 239MB -  monthly/edge:      ↑                                       esr/stable:        140.12.0esr-1 2026-06-16 (1155) 221MB -  esr/candidate:     140.12.1esr-1 2026-06-29 (1170) 221MB -  esr/beta:          ↑                                       esr/edge:          ↑                                      </pre> <p>installed:           140.12.0esr-1            (1155) 221MB - </p>",billc1224;,False,False,False,";useragent:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0;tb_version:140.12.0esr/64-bit;os:Linux/Ubuntu 24.04;kb_visits_prior:[""/en-US/kb/channel-choices-thunderbird-snap-and-flatpak""]",0,0,0,,,,Linux/Ubuntu 24.04,140.12.0esr/64-bit
1590539,2026-07-01T05:13:02.576499Z,2026-07-01T08:41:54.555893Z,nl,thunderbird,ik wil graag mijn emails beveiligen,False,,,False,1829421.0,1829421;,security,thunderbird;android;security;firefox-1520;,mroelandse62,<p>Graag ook updates uitvoeren </p>,mroelandse62;Mozilla-assistent;,False,False,False,;useragent:Mozilla/5.0 (Android 16; Mobile; rv:152.0) Gecko/152.0 Firefox/152.0;ff_version:152.0;os:Android,1,0,0,,,,Android,
1590558,2026-07-01T09:08:27.590382Z,2026-07-01T09:08:27.590388Z,cs,thunderbird,Chyba editoru při přeposílání (inline): Uzamčení dočasných souborů v Tempu při ukládání konceptu a odesílání,False,,,False,,,attachments,thunderbird;windows-10;attachments;thunderbird-1520;,fandovic,"<p>Problém spočívá v kritickém selhání správy dočasných souborů a vnitřní mezipaměti (cache) v editoru zpráv Thunderbirdu. K chybám dochází na čistě lokální úrovni (účet ukládá koncepty i odeslanou poštu výhradně do Místních složek na disku) při operaci Přeposlat inline (v těle zprávy), pokud e-mail obsahuje přílohu (např. PDF, JPG). Editor zpráv nedokáže správně řídit životní cyklus dočasných souborů v systémovém adresáři Temp: po prvotní manipulaci korektně neuvolňuje souborové zámky v operačním systému Windows a při opakovaných pokusech o přístup agresivně spoléhá na neplatné cesty ve své interní paměti, namísto nového vybalení dat z originální zprávy. To vede k řetězovému selhání od uložení konceptu až po samotné odeslání.  Detailní rozpis jednotlivých chyb: Chyba 1: Selhání uložení konceptu (Zámek souboru v adresáři Temp) Popis chování: Uživatel píše zprávu a stiskne poprvé Ctrl + S (nebo proběhne první automatické ukládání). Thunderbird vytvoří v systémovém Tempu dočasné soubory (nsmail-XX.pdf / nsemail-X.eml) a úspěšně zapíše koncept do Místních složek. Technická příčina: Editor Thunderbirdu po úspěšném zápisu neuzavře souborový proud (file stream) k těmto dočasným souborům a ponechá je uzamčené systémem Windows. Následek: Jakmile uživatel stiskne Ctrl + S podruhé (nebo po uplynutí časového intervalu zareaguje automatické ukládání), proces narazí na svůj vlastní zámek. Editor vyhodí trvalou chybovou hlášku o odepření přístupu k dočasnému souboru. </p><p>Chyba 2: Selhání při odesílání zprávy (Zablokování procesu odeslání) Popis chování: Uživatel se pokusí rozepsanou zprávu odeslat. Technická příčina: Při odesílání se paralelně spouští dva procesy: fyzické odeslání přes SMTP a zápis kopie do složky Odeslaná pošta. Oba tyto procesy potřebují přistoupit k témuž dočasnému souboru přílohy v adresáři Temp. Následek: Protože editor kvůli chybě č. 1 drží na dočasném souboru exkluzivní zámek z předchozího ukládání konceptu, proces odesílání selže. Thunderbird nedokáže dokončit kompletaci zprávy, odesílání zhavaruje, okno s hotovou zprávou zmizí a uživatel je nucen psát vše znovu. </p><p>Chyba 3: Mrtvá příloha v editoru (Agresivní cache neexistující cesty) Popis chování: Uživatel zvolí u e-mailu „Přeposlat inline“. V rozepsaném okně nelze přílohu vůbec otevřít, prohlížet ani s ní manipulovat. Technická příčina: K této chybě dochází, pokud uživatel s přílohou daného mailu v minulosti pracoval a mezitím došlo k promazání nebo vyčištění systémového adresáře Temp. Editor zpráv se při novém přeposlání nepokusí extrahovat přílohu z MIME struktur e-mailu čistě od začátku, ale prioritně se vnitřně odkazuje na starou, již neexistující cache cestu v Tempu. Následek: Příloha v editoru zůstane zcela nefunkční. Jediným řešením je okno editoru zavřít (čímž se vymaže vnitřní cache okna) a zvolit „Přeposlat“ znovu, což konečně vynutí čistou extrakci dat na disk. </p>",fandovic;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Firefox/152.0;tb_version:152,0,1;os:Windows 10",0,0,0,,,,Windows 10,"152,0,1"
1590568,2026-07-01T10:15:28.840053Z,2026-07-01T10:15:28.840062Z,en-US,thunderbird,Quick Filter does not return correct results in Unified Inbox,False,,,False,,,search,thunderbird;search;thunderbird-140120;thunderbird-14012;,vilro03,"<p>Quick Filter does not return correct results in Unified Inbox (Thunderbird 140.12.0 ESR) </p><p>I'm using Thunderbird **140.12.0 ESR (aarch64)** and believe I've found an issue with the Quick Filter when searching the **Unified Inbox**. </p> <ul><li><ul><li>Steps to reproduce:** </li></ul> </li></ul> <p>1. Open the **Unified Inbox**. 2. Open the Quick Filter bar. 3. Enter a search term (e.g. ""maddy""). </p> <ul><li><ul><li>Observed behaviour in the Unified Inbox:** </li></ul> </li></ul> <ul><li> With no ""Filter messages by"" options selected, entering a search term does not filter the message list. </li><li> Selecting **Sender**, **Recipients** and **Subject** still does not return the expected email. </li><li> Selecting **Body** changes the results after a delay, but the expected email is still **not** returned. </li></ul> <p>If I open the **actual Inbox** containing that same email and repeat the search: </p> <ul><li> The expected email is found using **Sender**, **Recipients** and **Subject**. </li><li> When **Body** is selected, the search takes longer and eventually returns additional matching messages, including the expected email. </li></ul> <p>This behaviour is reproducible with multiple search terms and suggests that the Quick Filter does not search the **Unified Inbox (virtual folder)** correctly, even though the same search works in the underlying physical folder. </p><p>Could you please confirm whether this is a known issue or a bug? </p>",vilro03;,False,False,False,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36;tb_version:140.12.0 ESR (aarc;os:Mac OS x 26.5.1",0,0,0,,,,Mac OS x 26.5.1,140.12.0 ESR (aarc
1590573,2026-07-01T11:06:06.432462Z,2026-07-01T14:50:21.688469Z,en-US,thunderbird,How to Download a older version of thunderbird,False,,,False,1829476.0,1829452;1829476;,install,thunderbird;windows-11;install;,maginty,<p>I hate the new thunderbird I am 79 years old and can't understand it . Please help me down load a older version of thunderbird so I can read my e-mail </p>,maginty;davidsk;mozilla98;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36;tb_version:2025;os:Windows 11",2,0,0,,,,Windows 11,2025
1590586,2026-07-01T11:48:06.746264Z,2026-07-01T14:28:12.110816Z,nl,thunderbird,Mijn pc zou spam versturen.,False,,,False,1829471.0,1829471;,send-and-receive-email,linux;thunderbird;send-and-receive-email;,herbie.beekman123,<p>Mijn pc zou spam verstuurd hebben of versturen. Met een ander mailprogramma heb ik geen problemen met het versturen van mail Er staat ook geen blokkade op mijn account volgens de provider. Ook heb ik Thunderbird opnieuw geïnstalleerd en opnieuw gestart. Inkomende  mail e.d. werkt prima. </p>,herbie.beekman123;Mozilla-assistent;,False,False,False,";useragent:Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36;tb_version:140.12.Oesr;os:Linux",1,0,0,,,,Linux,140.12.Oesr
1590589,2026-07-01T12:54:33.612664Z,2026-07-01T12:54:33.612675Z,cs,thunderbird,Nestahuji se mi emaily po zmene hesla,False,,,True,,,passwords-and-sign-in,thunderbird;windows-11;passwords-and-sign-in;thunderbird-14012;thunderbird-140121;,pstachova,"<p>Dobry den,  Thunderbird pouzivam pro stahovani emailu do pocitace z emalove schranky u @volny.cz. Bohuzel moje schranka byla napadena a <a href=""http://centrum.cz"" rel=""nofollow"">centrum.cz</a> ji zablokovalo. Vyzadalo zmenu hesla. Po zmene hesla se mi jiz nestahuji emaily do Thunderbirdu, vyzaduje vlozeni hesla. I pres to, ze vlozim nove heslo, kterym se prihlasuji do schranky @volny.cz, tak se Thunderbird neprihlasi. </p><p>Pise mi to: Server byl kontaktovan, odesilaji se prihlasovaci informace.... (modra zizala v dolnim pravem rohu) Nelze se pripojit k serveru <a href=""http://pop3.volny.cz"" rel=""nofollow"">pop3.volny.cz</a>; spojeni bylo odmitnuto. </p><p>Je problem v TB nebo na strane <a href=""http://centrum.cz"" rel=""nofollow"">centrum.cz</a>? </p><p>Děkuji Petra Kotková 605235812 </p>",pstachova;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Firefox/152.0;tb_version:140.12.1esr;os:Windows 11;kb_visits_prior:[""/cs/kb/ochrana-ulozenych-hesel-v-thunderbirdu-pomoci-hlav""]",0,0,0,,,,Windows 11,140.12.1esr
1590593,2026-07-01T13:18:09.687575Z,2026-07-01T22:19:54.751811Z,en-US,thunderbird,Too much disk space used by Thunderbird,False,,,False,1829574.0,1829465;1829535;1829555;1829559;1829569;1829574;,profiles,thunderbird;windows-11;profiles;thunderbird-1520;,johnalcide,"<p>Hi, I have been running low on hard disk space due to the bloated Windows 11. I have been trying to clean up Thunderbird by deleting a bunch of saved emails and compacting, but the size of my profile folder is still about 3.5 GB. I looked at all of the subfolders under my profile and found a bunch of what I think is dead storage.  </p><p>Under the MAIL folder there are 4 folders for what looks like my current Local Folders and 3 older local folders. Under the IMAPMAIL folder there are 4 folders for what looks like my 2 current email addresses and 2 older unused email addresses. </p><p>I looked under the account settings for the Local Folders and the 2 email addresses and have identified the 3 out of the 8 folders that are still being used. </p><p>So my question is, is it safe to just delete these apparently unused folders? </p>",johnalcide;davidsk;rednoise;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Firefox/152.0;tb_version:152.0;os:Windows 11,6,0,0,,,,Windows 11,152.0
1590601,2026-07-01T14:05:14.917821Z,2026-07-01T14:05:14.917835Z,en-US,thunderbird,my thunderbird email has suddenly duplicated all emails in my inbox. How do I undo?,False,,,False,,,send-and-receive-email,thunderbird;windows-10;send-and-receive-email;,admin1051,"<p>I had difficulty getting my thunderbird email to open. Then, when it did open, it uploaded all emails in duplicate. I now have a very full inbox in both my accounts. How can I get thunderbird to remove the duplicates? It would take forever to do this manually. </p>",admin1051;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36;tb_version:don't know;os:Windows 10",0,0,0,,,,Windows 10,don't know
1590611,2026-07-01T14:45:26.857575Z,2026-07-01T14:45:26.857579Z,en-US,thunderbird,Changing the font size/type for Message Source?,False,,,False,,,customization,linux;thunderbird;customization;thunderbird-1520;thunderbird-15201;,michael168,"<p>My Message Source displays text in very large Liberation Mono. I can't find a setting anywhere, including Advanced Preferences. Where can I change that?  </p><p>Liberation Mono is the font I have set for monospace in different languages. Since it is not the default, there may be a connection there.  </p><p>Also, since yesterday when I reply to certain HTML messages, the font used for quoted text is again large size Liberation Mono. I haven't changed anything, so I suspect it's a bug in new 152.0.1. </p>",michael168;,False,False,False,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:152.0) Gecko/20100101 Firefox/152.0;tb_version:152.0.1;os:Linux,0,0,0,,,,Linux,152.0.1
